ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
TB24018176,"05/06/2024, 8:57:59 PM","05/07/2024, 1:06:43 PM",THUNDER BAY,ON,P7C 4R3,GOLF LINKS RD AND JAMES ST N, TBPS] MOTOR VEHICLE COLLISION MVC NO INJURIES,Traffic,MOTOR VEHICLE COLLISION
TB24018168,"05/06/2024, 7:14:50 PM","05/07/2024, 1:06:43 PM",THUNDER BAY,ON,P7B 5L4,1 Block CUMBERLAND ST S," TBPS] MISCHIEF 11-10, MICHIEF UNDER 5000",Other Property Crime,MISCHIEF
TB24018175,"05/06/2024, 8:54:06 PM","05/07/2024, 1:06:43 PM",THUNDER BAY,ON,P7A 4R2,400 Block CUMBERLAND ST N, TBPS] LIQUOR LICENCE ACT LIQUOR LICENCE ACT VIOLATION IN PROGRESS,Quality of Life,LIQUOR LICENCE ACT
TB24018198,"05/06/2024, 11:46:36 PM","05/07/2024, 1:07:13 PM",THUNDER BAY,ON,P7B 1K1,CLARKSON ST N AND RED RIVER RD, TBPS] MOTOR VEHICLE COLLISION MVC - AMB ENR - DUAL RESP,Other,MOTOR VEHICLE COLLISION
TB24018381,"05/08/2024, 5:25:17 AM","05/08/2024, 1:09:35 PM",THUNDER BAY,ON,P7C 3H4,200 Block SIMPSON ST, TBPS] ASSAULT SUSP PRESENT OR IN AREA,Assault,ASSAULT
TB24018395,"05/08/2024, 6:46:01 AM","05/08/2024, 1:09:35 PM",THUNDER BAY,ON,P7C 3A3,600 Block MCINTOSH ST," TBPS] MISCHIEF 11-10, MICHIEF UNDER 5000",Other Property Crime,MISCHIEF
TB24018034,"05/05/2024, 7:48:00 PM","05/08/2024, 1:09:35 PM",THUNDER BAY,ON,P7E 5R8,600 Block ARTHUR ST W, TBPS] ASSAULT ACCUSED NOT PRESENT,Assault,ASSAULT
TB24018343,"05/07/2024, 11:22:49 PM","05/08/2024, 1:09:36 PM",THUNDER BAY,ON,P7B 5L6,300 Block MAIN ST, TBPS] THEFT SUSP STILL PRESENT OR MAY BE IN AREA,Other Theft,THEFT
TB24018346,"05/07/2024, 11:41:51 PM","05/08/2024, 1:09:36 PM",THUNDER BAY,ON,P7B 5L6,300 Block MAIN ST, TBPS] LIQUOR LICENCE ACT LIQUOR LICENCE ACT VIOLATION IN PROGRESS,Quality of Life,LIQUOR LICENCE ACT
TB24018363,"05/08/2024, 2:09:20 AM","05/08/2024, 1:09:36 PM",THUNDER BAY,ON,P7B 6E6,800 Block ALLOY PL, TBPS] TRESPASS AT NIGHT SUSP NOT IN AREA - REPORTED AFTER THE FA,Other Property Crime,TRESPASS AT NIGHT
TB24018352,"05/08/2024, 12:11:44 AM","05/08/2024, 1:09:36 PM",THUNDER BAY,ON,P7B 3V8,200 Block HILL ST S," TBPS] THEFT NOT IN PROGRESS, FROM MOTOR VEHICLE",Theft from Vehicle,THEFT
TB24018390,"05/08/2024, 6:18:31 AM","05/08/2024, 1:09:36 PM",THUNDER BAY,ON,P7E 1E7,500 Block SYNDICATE AV S, TBPS] B-E BUS/RES/OTH SUSP PRESENT OR MAY STILL BE IN AREA,Breaking & Entering,B-E BUS/RES/OTH
TB24018370,"05/08/2024, 3:29:18 AM","05/08/2024, 1:09:36 PM",THUNDER BAY,ON,P7C 4S8,1 Block LIMBRICK ST, TBPS] INDECENT ACTS SUSP PRESENT OR MAY STILL BE IN AREA,Sexual Offense,INDECENT ACTS
TB24018304,"05/07/2024, 5:14:33 PM","05/08/2024, 1:09:37 PM",THUNDER BAY,ON,P7A 2R6,300 Block TOLEDO ST, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24018302,"05/07/2024, 5:03:07 PM","05/08/2024, 1:09:37 PM",THUNDER BAY,ON,P7B 5L4,1 Block CUMBERLAND ST S, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24018305,"05/07/2024, 5:23:46 PM","05/08/2024, 1:09:37 PM",THUNDER BAY,ON,P7E 5S2,1100 Block ARTHUR ST W, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24018311,"05/07/2024, 6:13:21 PM","05/08/2024, 1:09:37 PM",THUNDER BAY,ON,P7C 5A3,JAMES ST N AND REDWOOD AV W, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24018317,"05/07/2024, 7:27:30 PM","05/08/2024, 1:09:37 PM",THUNDER BAY,ON,P7B 6B9,1000 Block FORT WILLIAM RD, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24018327,"05/07/2024, 8:27:28 PM","05/08/2024, 1:09:37 PM",THUNDER BAY,ON,P7B 1R8,200 Block BAY ST, TBPS] ROBBERY NO WEAPONS - SUSP STILL IN AREA,Robbery,ROBBERY
TB24018284,"05/07/2024, 3:12:45 PM","05/08/2024, 1:09:38 PM",THUNDER BAY,ON,P7C 4S8,1 Block LIMBRICK ST, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
