ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
TB24042622,"10/11/2024, 7:26:59 PM","10/12/2024, 1:10:40 PM",THUNDER BAY,ON,P7B 7A4,GOLF LINKS RD AND OLIVER RD, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24042625,"10/11/2024, 7:28:27 PM","10/12/2024, 1:10:40 PM",THUNDER BAY,ON,P7E 5P7,100 Block ARTHUR ST W, TBPS] THEFT SUSP STILL PRESENT OR MAY BE IN AREA,Other Theft,THEFT
TB24042637,"10/11/2024, 8:31:49 PM","10/12/2024, 1:10:41 PM",THUNDER BAY,ON,P7B 4A4,1000 Block MEMORIAL AV, TBPS] MOTOR VEHICLE COLLISION 11-10 MVC ANY TYPE,Other,MOTOR VEHICLE COLLISION
TB24042646,"10/11/2024, 9:06:53 PM","10/12/2024, 1:10:41 PM",THUNDER BAY,ON,P7B 2X7,100 Block COURT ST S, TBPS] MOTOR VEHICLE COLLISION MVC - AMB ENR - DUAL RESP,Other,MOTOR VEHICLE COLLISION
TB24042654,"10/11/2024, 9:42:12 PM","10/12/2024, 1:10:42 PM",THUNDER BAY,ON,P7B 3Z7,700 Block MEMORIAL AV, TBPS] THEFT SUSP STILL PRESENT OR MAY BE IN AREA,Other Theft,THEFT
TB24042421,"10/10/2024, 4:11:02 PM","10/13/2024, 1:04:58 PM",THUNDER BAY,ON,P7B 1E3,200 Block PEARL ST," TBPS] THEFT NOT IN PROGRESS, UNDER 5000",Other Theft,THEFT
TB24042820,"10/12/2024, 10:25:46 PM","10/13/2024, 1:06:41 PM",THUNDER BAY,ON,P7A 4K8,1000 Block DAWSON RD, TBPS] LIQUOR LICENCE ACT LIQUOR LICENCE ACT VIOLATION IN PROGRESS,Quality of Life,LIQUOR LICENCE ACT
TB24042826,"10/12/2024, 11:01:01 PM","10/13/2024, 1:06:43 PM",THUNDER BAY,ON,P7E 6H2,200 Block AMELIA ST W, TBPS] INDECENT ACTS SUSP PRESENT OR MAY STILL BE IN AREA,Sexual Offense,INDECENT ACTS
TB24042832,"10/12/2024, 11:17:17 PM","10/13/2024, 1:06:44 PM",THUNDER BAY,ON,P7B 5L6,300 Block MAIN ST, TBPS] THEFT SUSP STILL PRESENT OR MAY BE IN AREA,Other Theft,THEFT
TB24042837,"10/13/2024, 12:02:01 AM","10/13/2024, 1:06:45 PM",THUNDER BAY,ON,P7E 6N7,1500 Block JAMES ST S, TBPS] THEFT SUSP STILL PRESENT OR MAY BE IN AREA,Other Theft,THEFT
TB24042838,"10/13/2024, 12:07:12 AM","10/13/2024, 1:06:45 PM",THUNDER BAY,ON,P7A 4K8,1000 Block DAWSON RD, TBPS] THEFT SUSP STILL PRESENT OR MAY BE IN AREA,Other Theft,THEFT
TB24042849,"10/13/2024, 1:48:55 AM","10/13/2024, 1:06:47 PM",THUNDER BAY,ON,P7E 5V7,1100 Block LINCOLN ST, TBPS] DRUG OFFENCES SUSP PRESENT OR MAY STILL BE IN AREA,Quality of Life,DRUG OFFENCES
TB24042850,"10/13/2024, 1:51:55 AM","10/13/2024, 1:06:47 PM",THUNDER BAY,ON,.,100 Block PEARL ST, TBPS] ASSAULT SUSP PRESENT OR IN AREA,Assault,ASSAULT
TB24042854,"10/13/2024, 2:31:51 AM","10/13/2024, 1:06:47 PM",THUNDER BAY,ON,P7C 3X8,100 Block CENTENNIAL SQ, TBPS] THEFT SUSP STILL PRESENT OR MAY BE IN AREA,Other Theft,THEFT
TB24042855,"10/13/2024, 2:33:48 AM","10/13/2024, 1:06:47 PM",THUNDER BAY,ON,P7E 5N2,1300 Block ARTHUR ST E," TBPS] ASSAULT JUST OCCURRED, ACCUSED NOT PRESENT",Assault,ASSAULT
TB24042856,"10/13/2024, 2:37:41 AM","10/13/2024, 1:06:47 PM",THUNDER BAY,ON,P7E 5V6,1000 Block DONALD ST E, TBPS] B-E BUS/RES/OTH SUSP PRESENT OR MAY STILL BE IN AREA,Breaking & Entering,B-E BUS/RES/OTH
TB24042863,"10/13/2024, 3:14:08 AM","10/13/2024, 1:06:48 PM",THUNDER BAY,ON,P7A 7E1,HIGH ST N AND RIVER ST, TBPS] MOTOR VEHICLE COLLISION MVC NO INJURIES,Traffic,MOTOR VEHICLE COLLISION
TB24042864,"10/13/2024, 3:18:12 AM","10/13/2024, 1:06:48 PM",THUNDER BAY,ON,P7C 2V3,600 Block SOUTHERN AV, TBPS] THEFT SUSP STILL PRESENT OR MAY BE IN AREA,Other Theft,THEFT
TB24042874,"10/13/2024, 5:06:14 AM","10/13/2024, 1:06:49 PM",THUNDER BAY,ON,P7B 3A6,900 Block FORT WILLIAM RD, TBPS] THEFT SUSP STILL PRESENT OR MAY BE IN AREA,Other Theft,THEFT
TB24042883,"10/13/2024, 7:42:52 AM","10/13/2024, 1:06:50 PM",THUNDER BAY,ON,P7B 4A1,900 Block MEMORIAL AV, TBPS] THEFT SUSP STILL PRESENT OR MAY BE IN AREA,Other Theft,THEFT
TB24042755,"10/12/2024, 8:51:28 AM","10/13/2024, 1:06:58 PM",THUNDER BAY,ON,P7B 3Z8,800 Block MEMORIAL AV, TBPS] ASSAULT SUSP PRESENT OR IN AREA,Assault,ASSAULT
TB24042763,"10/12/2024, 12:54:49 PM","10/13/2024, 1:06:58 PM",THUNDER BAY,ON,P7B 1K3,800 Block RED RIVER RD, TBPS] ASSAULT ACCUSED NOT PRESENT,Assault,ASSAULT
TB24042766,"10/12/2024, 2:23:12 PM","10/13/2024, 1:06:59 PM",THUNDER BAY,ON,P7C,REDWOOD AV E AND EDWARD ST N, TBPS] MOTOR VEHICLE COLLISION MVC NO INJURIES,Traffic,MOTOR VEHICLE COLLISION
TB24042771,"10/12/2024, 3:03:19 PM","10/13/2024, 1:06:59 PM",THUNDER BAY,ON,P7B 3X9,400 Block RUPERT ST," TBPS] MISCHIEF 11-10, MICHIEF UNDER 5000",Other Property Crime,MISCHIEF
TB24042780,"10/12/2024, 4:56:48 PM","10/13/2024, 1:06:59 PM",THUNDER BAY,ON,P7A 2M7,300 Block CLAVET ST, TBPS] STOLEN VEHICLE SUSP NOT IN AREA,Theft of Vehicle,STOLEN VEHICLE
TB24042785,"10/12/2024, 5:59:17 PM","10/13/2024, 1:06:59 PM",THUNDER BAY,ON,P7B 5X1,600 Block BEVERLY ST, TBPS] LIQUOR LICENCE ACT LIQUOR LICENCE ACT VIOLATION IN PROGRESS,Quality of Life,LIQUOR LICENCE ACT
